Product_Name,Diff,Total_Order,Total_GMV
"Sleek Bottle, Nipple, and Baby Accessories Cleanser 500ml",23,4,135100
"Sleek Bottle, Nipple, and Baby Accessories Cleanser 900ml",38,6,304592
Sleek Hand Wash Caring 250ml Refill,8,2,141000
Sleek Hand Wash Refreshing 250ml Refill,8,1,14100
Sleek Hand Wash Soothing 250ml Refill,9,2,49200
Sleek Hand Wash Soothing 300ml,31,1,26700
Sleek Handwash Apple Pouch 400ml,3,1,12700
Sleek Handwash Strawberry btl 500ml,41,2,42500
Sleek Handwash Strawberry Pouch 400ml,41,2,74400
So Klin Powdet Softergent Purple Bag (1800g),40,1,70400
Softex Comfort Slim 2 in 1,17,1,16464
Softex Light Airy 29cm 15s,6,1,19800
Soklin Lantai Kuning (Holiday Mood) Pouch 800ml,27,2,16000
Soklin Lantai Pink Pouch 800ml,28,3,25175
Soklin Pewangi Sekali Bilas Glamour Ungu Pouch 900ml,42,1,15300
Soklin Softener Merah Botol 1L,22,1,15770
Soklin Softener Sekali Bilas Twilight Blue Pouch 300ml,14,1,7800
Something Sweet Sticker Felt Doggy,35,1,5000
SOS Hand Sanitizer Antiseptic Gel 60ml,25,4,65100
Stimuno Syrup 100ML(OTC),21,2,99600
Sun Beras Merah Box 120gr,17,1,8500
Sunsilk Hijab Refresh & Anti-Dandruff Shampoo 170ml,7,1,19900
Sunsilk Shampoo Black Shine 680ml - Special price,11,2,42950
Sustagen Junior 1+ Vanila 350gr Box,3,4,591536
Sustagen Kid 3+ Vanila 800gr Tin NED,13,2,6578460
Sustagen School 6+ Madu 350gr Box,3,1,51823
Sustagen School 6+ vanila 800gr Tin,21,5,2330400
Susu Bendera 1+ Honey Pouch 150gr,10,1,41088
Susu Bendera 1+ Honey Pouch 600gr,16,1,41600
Susu Bendera 3+ Honey Pouch 360gr,11,2,544968
Susu Bendera 3+ Honey Pouch 600gr,38,7,951000
Susu Bendera 3+ Honey Pouch 600gr NED,11,2,48338
Sweety Baby Wipes Parfumed 80+4's,37,2,49200
Sweety Bronze Pants Super Jumbo M 58,42,1,277500
Sweety Comfort Gold NB 30,35,6,368700
Sweety Gold Pants L 3x28s,29,1,242900
Sweety Gold Pants S 3x36s,15,1,194000
Sweety Pantz Gold M 60,23,3,1060200
Sweety Pantz Gold Regular Pack M 34,29,3,525700
Sweety Pantz Gold S 66 ,16,1,117800
Sweety Pantz Gold XL 44,18,11,4358600
Sweety Pantz Gold XXL 36 ,23,2,706800
Sweety Silver Pants Boys L 3x28,26,2,314800
Sweety Silver Pants Boys M 3x30,27,2,304700
Sweety Silver Pants Boys XL 3x26,39,6,1589000
Sweety Silver Pants Boys XXL 3x24,29,4,1613600
Sweety Silver Pants Girl M 3x30,33,3,466600
Sweety Silver Pants Girl XL 3x26,29,2,459700
Sweety Silver Pants Girl XXL 3x24,4,1,142500
Sweety Silver Pants L 54's,23,5,1742000
Sweety Silver Pants M 18+2's,15,1,38200
Sweety Silver Pants M 60's ,23,3,1045200
Sweety Silver Pants S 32's,8,1,53500
Sweety Silver Pants XL 3x26s,27,8,1490700
Sweety Silver Pants XL 44's ,23,3,932400
Sweety Silver Pants XXL 3x24s,6,3,898500
Sweety Silver Pants XXL Isi 36 ,23,3,932400
Takoyakids Adorable Polkadot Dress Girl Mint XL,31,1,59000
Takoyakids Aoki Pyjama Sets Dusty Pink 7-8 Year,3,1,129000
Takoyakids Army Denim Boy Pants Green 5,8,2,218000
Takoyakids Asymmetric Top Girl Mint L,1,1,69000
Takoyakids Calla Girl Skirt Pink 1y,24,2,118000
Takoyakids Casual Stretch Trouser Boys Black 1,0,2,138000
Takoyakids Checkered Ribbon Top Girls Black S,24,2,118000
Takoyakids Cherry Girl Tops Pink M,35,1,32700
Takoyakids Cherry Girl Tops Pink S,24,2,118000
Takoyakids Geometri Girl Tops Brick S,24,2,118000
Takoyakids Geometri Girl Tops Mustard M,35,1,32700
Takoyakids Jasmine Embroidery Girl Dress Pink 8,24,2,118000
Takoyakids Jasmine Embroidery Girl Dress Purple 12,35,1,26700
Takoyakids Mizuki Cross Top Set Mint 3-4 Year,4,1,95000
Takoyakids Mizuki Cross Top Set Mint 7-8 Year,4,1,95000
Takoyakids Naomi Chain Girl Dress Cream 2y,35,1,26700
Takoyakids Petra Vest Girl Sets Navy 3,31,1,59000
Takoyakids Pocket Short Girls Khaki L,1,1,69000
Takoyakids Pocket Short Girls Khaki S,24,2,118000
Takoyakids Pocket Short Girls Khaki XL,16,1,89000
Takoyakids Pocket Short Girls White S,35,1,26700
Takoyakids Racquel Girl Dress Latte M,35,1,38700
Takoyakids Sally Knit Girl Cardigan Pink 10,35,1,55000
Tamba Waras Minyak Kutus Kutus 100ml,8,2,450000
Thin Crispy Brownies Homemade Recipe Rocky Chocolate,4,1,18000
Tops Bridge Green Air Filter (Isi 200 Lembar),28,1,70000
Tresemmé Conditioner Anti Hair Fall 340ml,38,1,39500
Tresemmé Conditioner Keratin Smooth 170ml,42,1,19200
Tresemmé Detox Shampoo Deep Cleanse & Protect 170ml,11,1,8455
TresemmÃ© Conditioner Scalp Care 340ml,42,1,39700
TresemmÃ© Shampoo Anti Hair Fall 670ml,39,2,129000
Tresno Joyo Balsem Telon 20gr,33,6,41400
Tresno Joyo Balsem Telon 40gr,10,1,11300
Tresno Joyo Minyak Telon 100ml Free Minyak Telon 30ml MKTG,33,1,23000
Tresno Joyo Minyak Telon 60ml,29,1,14300
Tresno Joyo Minyak Telon Herbal Plus Citronella 100ml,14,2,38200
Tresno Joyo Minyak Telon Herbal Plus Lavender 60ml,18,4,55415
Trunki Luggage Hello Kitty,31,1,490000
Trunki PaddlePak Penguin - Medium (2-5 yrs),27,1,372002
"Tupperware Purple Sweet Saver Canister 2,6l",17,1,107200
uPang Plus+ Gray Uv Waterless Sterilizer,29,1,4090000
Vaseline Lotion Intensive Care Aloe Soothe 400ml,21,2,80608
Vaseline Repairing Jelly  Original 50ml,38,4,71566
Vaseline Repairing Jelly Original 100ml,38,1,29800
Velvet Jumper Singlet 3 Pcs-NB,4,1,78800
Velvet My 123 Baju & Celana Pendek-Biru-L,28,1,26700
Velvet My 123 Baju & Celana Pendek-Hijau-L,28,1,26700
Velvet My 123 Baju & Celana Pendek-Ungu-L,34,1,26700
Vidoran Ibunda Vanilla Kacang Hijau 350gr,1,2,103800
Vidoran Xmart 1+ Madu 725gr,36,12,5583648
Vidoran Xmart 1+ Vanilla 725gr,25,1,403760
Vidoran Xmart 3+ Madu 1000gr,12,1,317520
Vidoran Xmart 3+ Madu 725gr,33,1,780000
Vidoran Xmart 3+ Vanilla 350gr,15,3,249600
Vidoran Xmart 3+ Vanilla 725gr,12,1,157976
Vixal Pembersih Porselen Biru (800mL),27,1,14500
Vixal Porcelain Cleaner Blue Btl (500mL),7,1,9901
Wellness Baby Cotton Ball 100 Pcs (50 Gram),11,2,30400
Wellness Cotton Ball Mini 100 Gram,10,2,121800
Wellness Cotton Buds Baby (100 pcs),38,1,112200
Wellness Cotton Roll 250gr,34,1,26300
Wellness Cotton Roll 500gr,0,1,52500
Winny Will Tricycle 642,17,1,114500
Wonderchild Crown Tutu Jumper Yellow-New Born,17,1,146200
Yummy Bites Rice Crackers Original 6+ 50gr,0,1,27600
Yummy Bites Rice Crackers Strawberry 6+ 50gr,0,1,26800
Yummy Bites Yogurt Melts Banana & Honey 20gr,32,1,31000
Yummy Bites Yogurt Melts Gold Kiwi 20gr,22,1,59750
Yummy Bites Yogurt Melts Mixed Berries 20gr,22,2,90750
Yummy Bites Yogurt Melts Strawberry 20gr,33,2,61000
Zuna Masker Polos 2ply,22,1,21600
Zwitsal Baby Bar Soap Classic 70gr,37,128,4909500
Zwitsal Baby Bar Soap Natural Milk and Honey 70gr,27,195,3281352
Zwitsal Baby Bath And Health & Beauty+Clean (450+85)ml,14,11,3693500
Zwitsal Baby Bath Classic 300ml,19,1,27000
Zwitsal Baby Bath Hair & Body 300ml,11,12,1142400
Zwitsal Baby Bath Hair & Body 300ml Get Free Bowl,41,103,10908800
Zwitsal Baby Bath Hair And Body Aloe Vera 200ml + Free Zwitsal Detergent 40ml,28,35,3096000
Zwitsal Baby Bath Milk and Honey 250ml,24,19,1187100
Zwitsal Baby Bath Natural Minyak Telon 200ml,8,3,51000
Zwitsal Baby Bath Rich Honey 450ml Get free Zwitsal Baby Shampoo 100ml,38,13,3482700
Zwitsal Baby Bottle Cleaner 750ml,34,38,4055600
Zwitsal Baby Bottle Cleaner 750ml Free Baby Bottle & Utensils Cleaner 135ml,0,1,21300
Zwitsal Baby Cologne Fresh Floral 100ml NEW,41,24,1818298
Zwitsal Baby Fabric Detergent 750ml,34,26,721300
Zwitsal Baby Fabric Softener 425ml,34,11,311200
"Zwitsal Baby Hair Lotion aloe vera, kemiri & seledri 100ml",38,44,3632460
Zwitsal Baby Liquid Powder 100ml,34,183,19508900
Zwitsal Baby Lotion Aloe vera 100ml Tub,33,9,1226042
Zwitsal Baby Mini Travel Pack,38,109,21005676
Zwitsal Baby Natural Minyak Telon 60ml,38,33,1785012
Zwitsal Baby Powder Aloe Vera 300gr,15,3,569184
Zwitsal Baby Round Box,38,36,11552252
Zwitsal Baby Shampoo Aloe Vera Kemiri Seledri 250ml + Free Zwitsal Detergent 40ml,23,13,243000
Zwitsal Baby Shampoo Classic Pouch 450ml,11,1,25284
Zwitsal Baby Shampoo Classic RL 200ml,4,1,15800
Zwitsal Baby Shampoo Natural Aloe Vera Pouch 250ml,28,5,197156
Zwitsal Baby Shampoo Natural Aloe Vera Pouch 450ml,38,11,644874
Zwitsal Baby Spa Gift Box New,37,260,91644400
Zwitsal Baby Spa Small Box,34,3,163600
Zwitsal Classic Baby Bath 100ml Tub,10,2,16200
Zwitsal Classic Baby Bath 100ml Tub - SP,13,1,32238
Zwitsal Classic Baby Lotion Aloe Vera 200ml Tub,38,57,2684100
Zwitsal Classic Baby Powder Fresh Floral 300gr Tub,37,3,42400
Zwitsal Classic Baby Powder Fresh Floral 500gr Tub,34,2,44900
Zwitsal Classic Baby Powder Soft Floral 100gr,37,10,207900
Zwitsal Classic Baby Powder Soft Floral 300gr Tub,34,2,28508
Zwitsal Eau De Toilette Body Mist 100ml,5,151,29729700
Zwitsal Extra Care Baby Cream with Zync 100ml Tub,38,34,10634552
Zwitsal Extra Care Baby Cream with Zync 50ml Tub,34,47,4398400
Zwitsal Kids 2 In 1 Sabun Mandi Cair Anak Natural And Nourish 280ml,31,6,273900
Zwitsal Kids 2 In 1 Sabun Mandi Cair Anak Soft And Moisturizing 250ml,31,6,145700
Zwitsal Kids 2 In 1 Sabun Mandi Cair Anak Soft And Moisturizing 280ml,18,1,19200
Zwitsal Kids Bath Action Pump 280ml NEW,38,3,59100
Zwitsal Kids Bath Beauty Pump 280ml NEW,21,3,57300
Zwitsal Kids Body Mist Fresh Touch 100ml,30,16,237200
Zwitsal Kids Body Mist Soft Touch 100ml,14,1,11300
Zwitsal Kids Bubble Bath Blue Clean & Fresh 250ml,34,16,476300
Zwitsal Kids Bubble Bath Blue Clean & Fresh 280ml,37,10,505300
Zwitsal Kids Bubble Bath Pink Soft & Moisturizing 250ml,9,1,28800
Zwitsal Kids Bubble Bath Pink Soft & Moisturizing 280ml,37,11,572900
Zwitsal Kids Hair Lotion Natural And Nourisihing 100ml,31,97,3338500
Zwitsal Kids Hair Lotion Soft And Moisturizing 100ml,31,18,2097300
Zwitsal Kids Shampoo Action Blue 180ml NEW,38,4,68200
Zwitsal Kids Shampoo Action Green 180ml NEW,10,1,22600
Zwitsal Kids Shampoo Beauty Pink 180ml NEW,15,1,11500
Zwitsal Kids shampoo Blue Clean & Fresh 180ml,37,10,201900
Zwitsal Kids Shampoo Green Natural & Nourishing Care 180ml,12,3,62600
Zwitsal Kids Shampoo Green Natural & Nourishing Care 180ml + Free Ring,2,1,12500
Zwitsal Kids shampoo Pink Soft & Moisturizing 180ml,9,4,65200
Zwitsal Natural Baby Bath 2in1 450ml Free Hair Lotion,41,121,26022536
Zwitsal Natural Baby Bath 2in1 450ml Free Lock n Lock,27,76,11563200
Zwitsal Natural Baby Bath 2in1 Hair & Body 100ml,40,4,414820
Zwitsal Natural Baby Bath 2in1 Hair & Body 200ml Tub,19,1,18500
Zwitsal Natural Baby Bath 2in1 Hair & Body Pouch 450ml,40,62,3663174
Zwitsal Natural Baby Bath Milk & Honey Isi 300ml Pump,27,7,210000
Zwitsal Natural Baby Bath Milk & Honey Pouch 450ml,41,48,4343970
Zwitsal Natural Baby Bath Minyak Telon 250ml,23,13,1081800
Zwitsal Natural Baby Bath with Minyak Telon 300ml Pump,29,4,93500
Zwitsal Natural Baby Cologne Floral Kisses 100ml,37,1,16700
Zwitsal Natural Baby Cologne Soft Touch 100ml,38,45,5098200
Zwitsal Natural Baby Hair Lotion Aloe Vera 200ml Tub,41,54,3963930
Zwitsal Natural Baby Milky Bath Rich Honey 300ml Pump,34,11,289860
Zwitsal Natural Baby Minyak Telon 100ml,41,107,6030916
Zwitsal Natural Baby Oil 100ml,31,7,111400
Zwitsal Natural Baby Powder Milk & Honey 300gr,40,19,1236064
Zwitsal Natural Baby Shampoo Aloe Vera 100ml Tub,40,9,84600
Zwitsal Natural Baby Shampoo Aloe Vera 300ml Pump,34,23,498836
Zwitsal Natural Baby Skin Protector Lotion 100ml Tub,41,81,11868046
Zwitsal Natural Baby Skin Protector Lotion 50ml Tub,34,37,2333840
Zwitsal Natural Basic Pack,37,23,1010188
